win,lose,probability
Sacramento Kings,New Orleans Pelicans,0.561464633
Los Angeles Clippers,New York Knicks,0.927562105
Portland Trail Blazers,Miami Heat,0.666629093
Minnesota Timberwolves,Cleveland Cavaliers,0.873653424
Memphis Grizzlies,Phoenix Suns,0.882187594
Los Angeles Lakers,Detroit Pistons,0.618649397
Indiana Pacers,Charlotte Hornets,0.533251794
Orlando Magic,Brooklyn Nets,0.635508259
Philadelphia 76ers,Oklahoma City Thunder,0.610328394
Boston Celtics,Washington Wizards,0.712943767
Denver Nuggets,Atlanta Hawks,0.873214726
Utah Jazz,New Orleans Pelicans,0.691031585
Dallas Mavericks,Chicago Bulls,0.738095394
Milwaukee Bucks,San Antonio Spurs,0.523312688
Golden State Warriors,Sacramento Kings,0.80235093
Detroit Pistons,Cleveland Cavaliers,0.881509281
Toronto Raptors,Portland Trail Blazers,0.672509716
Oklahoma City Thunder,Brooklyn Nets,0.659362194
Memphis Grizzlies,Minnesota Timberwolves,0.56032325
